Date,Clicks,Impressions,CTR,Position
2026-02-08,0,1,0%,8
2026-02-09,0,15,0%,14.4
2026-02-10,0,53,0%,28.3
2026-02-11,1,18,5.56%,42.4
2026-02-12,0,10,0%,22.9
2026-02-13,0,5,0%,4.6
2026-02-14,1,9,11.11%,18.6
2026-02-15,0,4,0%,7.5
2026-02-16,0,6,0%,8.2
2026-02-17,0,25,0%,14
2026-02-18,0,10,0%,33.2
2026-02-19,0,17,0%,4.9
