Date,Clicks,Impressions,CTR,Position
2026-02-22,0,2,0%,6.5
2026-02-23,0,11,0%,4.7
2026-02-24,0,56,0%,7.3
2026-02-25,0,30,0%,7.2
2026-02-26,0,28,0%,6.8
2026-02-27,0,16,0%,4.8
2026-02-28,0,12,0%,5
