Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-08,1343,16487509,769
2026-02-09,0,0,0
2026-02-10,2,0,0
2026-02-11,4,0,25
2026-02-12,0,0,0
2026-02-13,9,20919,67
