"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.conditionhealthy.com/trials/diabetes","11","0","0%","4.81816363636364"
"https://www.conditionhealthy.com/trials/psoriasis","8","0","0%","2.875"
"https://www.conditionhealthy.com/trials/migraine","1","0","0%","1"
