Date,Not indexed,Indexed,Impressions
2026-02-08,,,1
2026-02-09,,,15
2026-02-10,529,44,53
2026-02-11,529,44,18
2026-02-12,529,44,10
2026-02-13,529,44,5
2026-02-14,529,44,9
2026-02-15,529,44,4
2026-02-16,529,44,6
2026-02-17,529,44,25
