Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-02-08,1343,16487509,769
2026-02-09,0,0,0
2026-02-10,2,0,0
2026-02-11,4,0,25
2026-02-12,0,0,0
2026-02-13,9,20919,67
2026-02-14,3,8568,15
2026-02-15,0,0,0
2026-02-16,6,52858,245
2026-02-17,5,7080,23
2026-02-18,4,14154,70
2026-02-19,27,443264,82
2026-02-20,0,0,0
2026-02-21,0,0,0
2026-02-22,0,0,0
2026-02-23,2,8567,88
2026-02-24,0,0,0
2026-02-25,0,0,0
2026-02-26,0,0,0
2026-02-27,8,42840,137
2026-02-28,0,0,0
