Country,Clicks,Impressions,CTR,Position
United States,1,93,1.08%,26.87
Canada,0,3,0%,52.67
India,0,2,0%,8
Armenia,0,1,0%,1
Australia,0,1,0%,11
Netherlands,0,1,0%,22
Thailand,0,1,0%,31
