Date,Clicks,Impressions,CTR,Position
2026-02-08,0,1,0%,8
2026-02-09,0,15,0%,14.4
2026-02-10,0,53,0%,28.3
2026-02-11,1,18,5.56%,42.4
2026-02-12,0,10,0%,22.9
2026-02-13,0,5,0%,4.6
